Germany,India,Italy,South Korea,New Zealand,Singapore,Somalia,Uganda,UK,USA
148291,20080,183957,10683,1445,9125,286,61,136035,825429
150648,21370,187327,10694,1451,10141,286,63,141540,854288
153129,23077,189973,10708,1456,11178,328,74,146708,887858
154999,24530,192994,10718,1461,12075,328,75,151689,920185
156513,26283,195351,10728,1470,12693,390,75,155453,950581
157770,27890,197675,10738,1469,13624,436,79,158926,977082
158758,29451,199414,10752,1472,14423,480,79,163630,1000785
159912,31324,201505,10761,1474,14951,528,79,168357,1025362
161539,33062,203591,10765,1476,15641,582,81,173807,1051800
163009,34863,205463,10774,1479,16169,601,83,178771,1081020
164077,37257,207428,10780,1485,17101,601,85,183501,1115946
164967,39699,209328,10793,1487,17548,671,88,186731,1143296
165664,42505,210717,10801,1487,18205,722,89,189708,1167593
166152,46437,211938,10804,1486,18778,756,97,193091,1191678
167007,49400,213013,10806,1488,19410,835,98,196780,1216209
168162,52987,214457,10810,1489,20198,873,100,200616,1240769
169430,56351,215858,10822,1490,20939,928,101,204387,1268180
170588,59695,217185,10840,1492,21707,928,101,207439,1295019
171324,62808,218268,10874,1494,22460,997,116,209589,1320155
171879,67161,219070,10909,1497,23336,1054,121,211911,1339022
172576,70768,219814,10936,1497,23822,1089,121,215500,1358293
173171,74292,221216,10962,1497,24671,1170,129,218895,1381241
174098,78055,222104,10991,1497,25346,1219,139,222195,1401649
174478,81997,223096,11018,1498,26098,1284,160,224813,1428467
175233,85784,223885,11037,1498,26891,1284,203,227334,1453214
175752,90648,224760,11050,1499,27356,1357,227,229406,1477373
176369,95698,225435,11065,1499,28038,1421,227,231232,1495736
176551,100328,225886,11078,1499,28343,1455,248,233809,1518126
177778,106475,226699,11110,1503,28794,1502,260,236867,1539133
178473,112028,227364,11122,1503,29364,1573,264,239579,1561830
179021,118226,228006,11142,1504,29812,1594,160,242133,1587596
179710,124794,228658,11165,1504,30426,1594,175,244174,1611253
179986,131423,229327,11190,1504,31068,1594,198,245682,1632364
180328,138536,229858,11206,1504,31616,1594,198,247037,1652431
180600,144950,230158,11225,1504,31960,1689,222,248650,1671104
181200,150793,230555,11265,1504,32343,1711,253,250309,1690754
181524,158086,231139,11344,1504,32876,1731,281,252118,1709303
182196,165386,231732,11402,1504,33249,1828,317,253854,1731625
182922,173491,232248,11441,1504,33860,1828,329,255362,1756098
183189,181827,232664,11468,1504,34366,1916,413,256469,1779731
183410,190609,232997,11503,1504,34884,1976,417,257539,1798718
183594,198370,233197,11541,1504,35292,2023,457,258983,1816154
